length.group 1 2 3 4 5 sum(10e9) biomass(10e3t) meanweight(g) meanlength(cm) year
15 0.02 1.14 0 0 0 1.15 7.9 6.9 12.25 2003
16 0 0.9 0 0 0 0.9 7.3 8.1 12.75 2003
17 0 1.41 0.1 0 0 1.51 13.4 8.9 13.25 2003
18 0 1.45 0.16 0 0 1.61 16.7 10.4 13.75 2003
19 0 1.43 0.74 0 0 2.17 26.2 12.1 14.25 2003
20 0 1.21 1.44 0.02 0 2.67 37.7 14.1 14.75 2003
21 0 0.57 1.79 0.05 0 2.4 39.3 16.4 15.25 2003
22 0 0.18 2.11 0.19 0 2.48 45.2 18.2 15.75 2003
23 0 0.06 2.17 0.2 0 2.43 47.9 19.7 16.25 2003
24 0 0 1.35 0.26 0 1.61 36.2 22.4 16.75 2003
25 0 0 0.77 0.35 0 1.11 27.6 24.9 17.25 2003
26 0 0 0.33 0.2 0 0.53 14.4 27.2 17.75 2003
27 0 0 0.02 0.1 0 0.12 3.6 30.6 18.25 2003
28 0 0 0 0.04 0 0.04 1.5 33.6 18.75 2003
29 0 0 0 0 0 0 0.1 37.1 19.25 2003
30 0 0 0 0 0 0 0 0 19.75 2003
31 0 0 0 0 0 0 0 0 20.25 2003
32 0 0 0 0 0 0 0 0 20.75 2003
1 0 0 0 0 0 0 0 0 5.25 2004
2 0 0 0 0 0 0 0 0 5.75 2004
3 0.2 0 0 0 0 0.2 0.2 0.8 6.25 2004
4 0.49 0 0 0 0 0.49 0.5 1 6.75 2004
5 0.89 0 0 0 0 0.89 0.9 1 7.25 2004
6 1.87 0 0 0 0 1.87 3.3 1.7 7.75 2004
7 2.82 0 0 0 0 2.82 5.5 2 8.25 2004
8 5.84 0 0 0 0 5.84 13.6 2.3 8.75 2004
9 9.12 0 0 0 0 9.12 24.7 2.7 9.25 2004
10 6.75 0.05 0 0 0 6.79 22.8 3.4 9.75 2004
11 7.31 0.25 0 0 0 7.56 30.2 4 10.25 2004
12 5.36 0.2 0 0 0 5.55 26.1 4.7 10.75 2004
13 4.78 0.6 0 0 0 5.37 30.6 5.7 11.25 2004
14 3.46 1.14 0 0 0 4.6 30.1 6.6 11.75 2004
15 1.5 2.13 0 0 0 3.62 28.3 7.8 12.25 2004
16 0.52 3.34 0 0 0 3.86 33.6 8.7 12.75 2004
17 0.22 4.07 0 0 0 4.29 43.2 10.1 13.25 2004
18 0.04 3.48 0.03 0 0 3.55 40.9 11.5 13.75 2004
19 0.01 3.52 0.1 0 0 3.63 49.3 13.6 14.25 2004
20 0.02 2.53 0.41 0 0 2.96 45.1 15.2 14.75 2004
21 0.01 1.87 0.66 0.05 0 2.59 46.4 17.9 15.25 2004
22 0.01 0.97 1.14 0.08 0 2.2 43.9 20 15.75 2004
23 0 0.57 1.35 0.13 0.02 2.06 45.7 22.1 16.25 2004
24 0 0.08 1.21 0.19 0 1.47 36.4 24.7 16.75 2004
25 0 0.01 0.49 0.18 0.04 0.71 18.6 26.1 17.25 2004
26 0 0 0.19 0.02 0 0.21 6.2 29.3 17.75 2004
27 0 0 0.02 0 0 0.03 0.9 32.8 18.25 2004
28 0 0 0 0 0 0 0.1 29.7 18.75 2004
29 0 0 0.01 0.01 0 0.01 0.5 43.4 19.25 2004
30 0 0 0 0 0 0 0.1 40.4 19.75 2004
31 0 0 0 0 0 0 0.2 52.3 20.25 2004
32 0 0 0 0 0.002 0 0 0 20.75 2004
1 0 0 0 0 0 0 0 0 5.25 2005
2 0 0 0 0 0 0 0 0 5.75 2005
3 0 0 0 0 0 0 0 0 6.25 2005
4 0.8 0 0 0 0 0.8 0.8 1 6.75 2005
5 1.56 0 0 0 0 1.56 1.6 1 7.25 2005
6 2.15 0 0 0 0 2.15 3.5 1.6 7.75 2005
7 1.59 0 0 0 0 1.59 1.6 1 8.25 2005
8 1.69 0 0 0 0 1.69 2 1.2 8.75 2005
9 1.75 0 0 0 0 1.75 4.6 2.7 9.25 2005
10 2.46 0 0 0 0 2.46 8.1 3.3 9.75 2005
11 4.03 0.01 0 0 0 4.04 16.9 4.2 10.25 2005
12 4.54 0.07 0 0 0 4.61 22.2 4.8 10.75 2005
13 3.17 0 0 0 0 3.17 17.6 5.5 11.25 2005
14 2.56 0.33 0 0 0 2.88 17.7 6.1 11.75 2005
15 0.45 0.41 0 0 0 0.86 6.5 7.6 12.25 2005
16 0.09 1.29 0.01 0 0 1.38 12 8.7 12.75 2005
17 0 1.35 0.02 0 0 1.37 13.8 10.1 13.25 2005
18 0.09 1.71 0.04 0 0 1.83 21.1 11.5 13.75 2005
19 0.01 1.78 0.06 0 0 1.85 24.5 13.2 14.25 2005
20 0.02 1.84 0.1 0 0 1.97 30.4 15.5 14.75 2005
21 0 1.75 0.2 0 0 1.95 33.5 17.2 15.25 2005
22 0 1.14 0.53 0 0 1.67 32.2 19.3 15.75 2005
23 0 0.76 0.33 0.01 0 1.11 24.5 22.1 16.25 2005
24 0 0.45 0.21 0.03 0 0.69 16.8 24.3 16.75 2005
25 0 0.1 0.15 0 0 0.26 7.2 28.3 17.25 2005
26 0 0.04 0.09 0 0 0.13 3.7 28.6 17.75 2005
27 0 0 0.03 0.01 0 0.04 1.2 33.5 18.25 2005
28 0 0 0 0 0 0 0 34.3 18.75 2005
29 0 0 0 0 0 0 0 37.3 19.25 2005
30 0 0 0 0 0 0 0 0 19.75 2005
31 0 0 0 0 0 0 0 0 20.25 2005
32 0 0 0 0 0 0 0 0 20.75 2005
1 0 0 0 0 0 0 0 0 5.25 2006
2 0 0 0 0 0 0 0 0 5.75 2006
3 0 0 0 0 0 0 0 0 6.25 2006
4 0.28 0 0 0 0 0.28 0.3 1 6.75 2006
5 1.46 0 0 0 0 1.46 1.7 1.2 7.25 2006
6 2.06 0 0 0 0 2.06 4.1 2 7.75 2006
7 5.04 0 0 0 0 5.04 10.1 2 8.25 2006
8 3.52 0 0 0 0 3.52 8.8 2.5 8.75 2006
9 4.02 0 0 0 0 4.02 11.7 2.9 9.25 2006
10 4.3 0 0 0 0 4.3 15.3 3.6 9.75 2006
11 6.65 0.16 0 0 0 6.81 29.2 4.3 10.25 2006
12 9.45 0 0 0 0 9.45 46.9 5 10.75 2006
13 6.5 0.21 0 0 0 6.71 38.1 5.7 11.25 2006
14 8.46 0.27 0 0 0 8.73 56 6.4 11.75 2006
15 3.37 0.07 0 0 0 3.44 26.7 7.8 12.25 2006
16 3.49 1.17 0 0 0 4.66 38.8 8.3 12.75 2006
17 1.14 1.44 0.11 0 0 2.69 26.6 9.9 13.25 2006
18 0.35 2.65 0.06 0 0 3.06 35.1 11.5 13.75 2006
19 0.02 3.8 0.23 0 0 4.06 53.9 13.3 14.25 2006
20 0 2.77 0.33 0 0 3.1 48.4 15.6 14.75 2006
21 0 2.67 0.44 0.02 0 3.13 55 17.6 15.25 2006
22 0 2.62 0.48 0 0 3.09 61.2 19.8 15.75 2006
23 0 1.96 0.78 0.01 0 2.75 62.4 22.7 16.25 2006
24 0 1.16 0.99 0.03 0 2.18 54.9 25.2 16.75 2006
25 0 0.46 0.67 0 0 1.13 32.8 29 17.25 2006
26 0 0.16 0.98 0.09 0 1.22 38.9 31.9 17.75 2006
27 0 0.09 0.36 0.16 0 0.61 21.2 34.9 18.25 2006
28 0 0.01 0.16 0.02 0 0.18 6.8 36.8 18.75 2006
29 0 0.01 0.01 0.01 0 0.03 1.4 46.6 19.25 2006
30 0 0 0 0 0 0 0 0 19.75 2006
31 0 0 0 0 0 0 0 0 20.25 2006
32 0 0 0 0 0 0 0 0 20.75 2006
1 0 0 0 0 0 0 0 0 5.25 2007
2 0 0 0 0 0 0 0 0 5.75 2007
3 0 0 0 0 0 0 0 0 6.25 2007
4 0.16 0 0 0 0 0.23 0.2 1 6.75 2007
5 0.46 0 0 0 0 0.46 0.6 1.3 7.25 2007
6 2.78 0 0 0 0 2.78 4.9 1.7 7.75 2007
7 7.06 0 0 0 0 7.06 14.6 2.1 8.25 2007
8 12.13 0 0 0 0 12.13 30.9 2.6 8.75 2007
9 26.69 0 0 0 0 26.69 79 3 9.25 2007
10 37.73 0 0 0 0 37.73 125 3.3 9.75 2007
11 48.73 0.51 0 0 0 49.24 191.5 3.9 10.25 2007
12 33.23 0.67 0 0 0 33.9 149.3 4.4 10.75 2007
13 21.69 1.16 0 0 0 22.85 114 5 11.25 2007
14 16.01 2.2 0 0 0 18.21 105.8 5.8 11.75 2007
15 6.02 1.68 0.03 0 0 7.73 54 7 12.25 2007
16 3.28 3.38 0 0 0 6.66 54.5 8.2 12.75 2007
17 2.5 3.48 0 0 0 5.98 57.1 9.6 13.25 2007
18 1.13 3.72 0 0 0 4.85 54.5 11.2 13.75 2007
19 1.48 3.78 0.11 0 0 5.37 70.3 13.1 14.25 2007
20 0.48 5.17 0.03 0 0 5.68 83.9 14.8 14.75 2007
21 0.11 7.63 0.05 0 0 7.79 128.4 16.5 15.25 2007
22 0.01 7.5 0.14 0 0 7.65 141.3 18.5 15.75 2007
23 0 7.16 0.71 0 0 7.87 161 20.5 16.25 2007
24 0 3.97 0.44 0 0 4.41 100.5 22.8 16.75 2007
25 0 1.25 0.71 0.11 0 2.07 56.8 27.5 17.25 2007
26 0 1.01 0.27 0.02 0 1.29 38.5 29.8 17.75 2007
27 0 0.29 0.64 0.01 0 0.94 32.3 34.4 18.25 2007
28 0 0.08 0.39 0 0 0.48 18 37.9 18.75 2007
29 0 0.12 0.17 0 0 0.29 10.6 36.9 19.25 2007
30 0 0.01 0.02 0 0 0.03 1.2 37.3 19.75 2007
31 0 0 0 0 0 0 0 0 20.25 2007
32 0 0 0 0 0 0 0 0 20.75 2007
1 0 0 0 0 0 0 0 0 5.25 2008
2 0 0 0 0 0 0 0 0 5.75 2008
3 0 0 0 0 0 0 0 0 6.25 2008
4 0.99 0 0 0 0 0.99 1.1 1.1 6.75 2008
5 6.88 0 0 0 0 6.88 7.8 1.1 7.25 2008
6 17.02 0 0 0 0 17.02 29.6 1.7 7.75 2008
7 32.84 0 0 0 0 32.84 62.7 1.9 8.25 2008
8 43.48 0 0 0 0 43.48 100.6 2.3 8.75 2008
9 55.36 0 0 0 0 55.36 156.3 2.8 9.25 2008
10 52.96 0 0 0 0 52.96 165.2 3.1 9.75 2008
11 50.65 0 0 0 0 50.65 187.6 3.7 10.25 2008
12 27.69 0 0 0 0 27.69 118 4.3 10.75 2008
13 15.01 2.07 0 0 0 17.07 83.6 4.9 11.25 2008
14 8.01 10.36 0 0 0 18.36 114.1 6.2 11.75 2008
15 1.41 10.93 0 0 0 12.34 89.2 7.2 12.25 2008
16 0.24 26.96 0 0 0 27.2 215.8 7.9 12.75 2008
17 0.32 28.93 0 0 0 29.25 276.5 9.5 13.25 2008
18 0 32.2 0 0 0 32.2 355.2 11 13.75 2008
19 0.11 43.3 0.01 0 0 43.42 525.1 12.1 14.25 2008
20 0 25.12 0.34 0 0 25.45 350.8 13.8 14.75 2008
21 0 23.05 0.83 0 0 23.87 376.1 15.8 15.25 2008
22 0 12.54 2.33 0 0 14.87 257.4 17.3 15.75 2008
23 0 9.33 2.97 0 0 12.3 252.9 20.6 16.25 2008
24 0 3.97 4.79 0.55 0 9.31 204.3 22 16.75 2008
25 0 1.68 5.62 0.02 0 7.31 182.3 24.9 17.25 2008
26 0 0.53 3.63 0 0 4.15 119.7 28.8 17.75 2008
27 0 0.22 3.17 0.05 0 3.44 107.4 31.2 18.25 2008
28 0 0.04 0.71 0.98 0 1.73 60.1 34.8 18.75 2008
29 0 0.2 0.45 0.05 0 0.7 27.3 38.8 19.25 2008
30 0 0 0.01 0.04 0 0.05 1.9 38.5 19.75 2008
31 0 0 0 0 0 0 0 0 20.25 2008
32 0 0 0 0 0 0 0 0 20.75 2008
1 0 0 0 0 0 0 0 0 5.25 2009
2 0 0 0 0 0 0 0 0 5.75 2009
3 0.02 0 0 0 0 0.02 0.02 1 6.25 2009
4 0.21 0 0 0 0 0.21 0.21 1 6.75 2009
5 0.7 0 0 0 0 0.7 0.83 1.2 7.25 2009
6 1.93 0 0 0 0 1.93 3.28 1.7 7.75 2009
7 9.91 0.07 0 0 0 9.98 19.96 2 8.25 2009
8 19.59 0 0 0 0 19.59 47.02 2.4 8.75 2009
9 22.9 0.81 0 0 0 23.71 66.39 2.8 9.25 2009
10 24.44 0.36 0 0 0 24.8 81.85 3.3 9.75 2009
11 25.15 1.67 0 0 0 26.82 107.29 4 10.25 2009
12 11.83 3.29 0 0 0 15.11 72.54 4.8 10.75 2009
13 4.93 5.09 0 0 0 10.02 55.1 5.5 11.25 2009
14 1.4 16.87 0 0 0 18.27 116.93 6.4 11.75 2009
15 0.44 16.26 0 0 0 16.69 121.87 7.3 12.25 2009
16 0.42 26.09 0.01 0 0 26.51 225.37 8.5 12.75 2009
17 0.06 24.57 0.14 0 0 24.77 242.76 9.8 13.25 2009
18 0.02 24.1 0.33 0 0 24.45 271.42 11.1 13.75 2009
19 0.02 13.76 1.49 0 0 15.26 192.33 12.6 14.25 2009
20 0.05 9.96 1.58 0 0 11.59 164.58 14.2 14.75 2009
21 0 6 3.68 0 0 9.68 158.74 16.4 15.25 2009
22 0 5.31 6.72 0 0 12.03 222.61 18.5 15.75 2009
23 0 5.07 8.42 0 0 13.48 283.08 21 16.25 2009
24 0 3.26 12.82 0.03 0 16.1 376.79 23.4 16.75 2009
25 0 1.15 9.49 0.06 0 10.7 286.81 26.8 17.25 2009
26 0 2 7.07 0.16 0 9.23 278.75 30.2 17.75 2009
27 0 0.65 6.44 0 0 7.09 234.65 33.1 18.25 2009
28 0 0.07 1.95 0 0 2.02 72.11 35.7 18.75 2009
29 0 0 1.21 0 0 1.21 46.91 38.9 19.25 2009
30 0 0 0.13 0 0 0.13 5.51 43.4 19.75 2009
31 0 0 0 0 0 0 0 0 20.25 2009
32 0 0 0 0 0 0 0 0 20.75 2009
1 0 0 0 0 0 0 0 0 5.25 2010
2 2.81 0 0 0 0 2.81 2.81 1 5.75 2010
3 7.76 0 0 0 0 7.76 7.76 1 6.25 2010
4 10.18 0 0 0 0 10.18 10.18 1 6.75 2010
5 9.52 0 0 0 0 9.52 9.52 1 7.25 2010
6 13.19 0 0 0 0 13.19 18.47 1.4 7.75 2010
7 16.79 0 0 0 0 16.79 31.89 1.9 8.25 2010
8 28.98 0 0 0 0 28.98 60.86 2.1 8.75 2010
9 34.39 0.05 0 0 0 34.44 89.55 2.6 9.25 2010
10 30.39 0 0 0 0 30.39 91.18 3 9.75 2010
11 40.41 0.07 0 0 0 40.47 145.71 3.6 10.25 2010
12 20.68 0.95 0 0 0 21.63 95.16 4.4 10.75 2010
13 19.72 2.29 0 0 0 22.01 110.05 5 11.25 2010
14 8.89 8.09 0 0 0 16.97 101.84 6 11.75 2010
15 2 13.43 0 0 0 15.43 104.93 6.8 12.25 2010
16 1.84 20.82 0.11 0 0 22.77 175.34 7.7 12.75 2010
17 0.07 23.32 0.86 0 0 24.24 215.77 8.9 13.25 2010
18 0.07 16.33 0.76 0 0 17.16 175.01 10.2 13.75 2010
19 0.02 20.6 2.54 0 0 23.16 268.68 11.6 14.25 2010
20 0 8.48 2.68 0 0 11.16 151.72 13.6 14.75 2010
21 0 5.48 7.07 0 0 12.55 197.04 15.7 15.25 2010
22 0 3.26 6.5 0.04 0 9.8 175.44 17.9 15.75 2010
23 0 1.33 8.75 0.24 0 10.32 217.77 21.1 16.25 2010
24 0 2.35 8.25 0.07 0 10.67 250.75 23.5 16.75 2010
25 0 0.47 8.38 0.19 0 9.03 246.6 27.3 17.25 2010
26 0 0.07 6.4 0.3 0 6.78 204.05 30.1 17.75 2010
27 0 0.21 4.44 0.06 0.01 4.71 157.75 33.5 18.25 2010
28 0 0.08 2.84 0.01 0 2.93 109.62 37.4 18.75 2010
29 0 0.1 1.34 0.02 0 1.45 59.61 41 19.25 2010
30 0 0 0.26 0 0 0.26 11.77 44.6 19.75 2010
31 0 0 0.03 0 0 0.03 1.18 47 20.25 2010
32 0 0 0 0 0 0 0 52 20.75 2010
1 0 0 0 0 0 0 0 0 5.25 2011
2 0 0 0 0 0 0 0 0 5.75 2011
3 6.33 0 0 0 0 6.33 6.33 1 6.25 2011
4 20.51 0 0 0 0 20.51 20.51 1 6.75 2011
5 21.12 0 0 0 0 21.12 23.24 1.1 7.25 2011
6 22.87 0 0 0 0 22.87 32.02 1.4 7.75 2011
7 22.22 0 0 0 0 22.22 39.99 1.8 8.25 2011
8 25.95 0.4 0 0 0 26.36 52.71 2 8.75 2011
9 27.85 0.28 0 0 0 28.13 70.33 2.5 9.25 2011
10 21.96 1.7 0 0 0 23.66 75.71 3.2 9.75 2011
11 17.79 4.5 0 0 0 22.29 86.93 3.9 10.25 2011
12 14.8 9.55 0 0 0 24.36 109.6 4.5 10.75 2011
13 6.23 16.85 0 0 0 23.08 124.62 5.4 11.25 2011
14 1.53 18.46 0 0 0 19.99 123.93 6.2 11.75 2011
15 0.39 25.94 0.08 0 0 26.41 192.78 7.3 12.25 2011
16 0 25.69 0.6 0 0 26.3 228.78 8.7 12.75 2011
17 0 21.9 0.19 0 0 22.09 225.29 10.2 13.25 2011
18 0 13.83 1.96 0 0 15.8 180.09 11.4 13.75 2011
19 0 15.51 2.01 0 0 17.52 234.81 13.4 14.25 2011
20 0 11.2 6.83 0 0 18.03 288.5 16 14.75 2011
21 0 6.77 6.42 0.5 0 13.68 246.28 18 15.25 2011
22 0 4.76 8.14 1.71 0 14.62 293.76 20.1 15.75 2011
23 0 2.85 9.8 0.47 0 13.12 301.74 23 16.25 2011
24 0 0.27 7.58 0.26 0 8.12 201.25 24.8 16.75 2011
25 0 0.68 6.92 0.75 0 8.35 239.67 28.7 17.25 2011
26 0 0.03 3.25 1.42 0 4.71 144.06 30.6 17.75 2011
27 0 0 1.33 2.45 0 3.78 139.71 37 18.25 2011
28 0 0 0.22 0.41 0 0.63 22.29 35.5 18.75 2011
29 0 0 0 0.01 0 0.01 0.41 37 19.25 2011
30 0 0 0 0.06 0 0.06 2.34 39 19.75 2011
31 0 0 0 0 0 0 0 0 20.25 2011
32 0 0 0 0 0 0 0 0 20.75 2011
1 0 0 0 0 0 0 0 0 5.25 2012
2 0 0 0 0 0 0 0 0 5.75 2012
3 0 0 0 0 0 0 0 0 6.25 2012
4 2.54 0 0 0 0 2.54 3.048 1.2 6.75 2012
5 5.482 0 0 0 0 5.482 6.578 1.2 7.25 2012
6 8.817 0 0 0 0 8.817 14.107 1.6 7.75 2012
7 11.736 0 0 0 0 11.736 23.472 2 8.25 2012
8 13.283 0.054 0 0 0 13.337 33.343 2.5 8.75 2012
9 17.982 0 0 0 0 17.982 53.946 3 9.25 2012
10 15.782 0.096 0 0 0 15.878 52.397 3.3 9.75 2012
11 21.092 0.951 0 0 0 22.043 83.763 3.8 10.25 2012
12 18.077 4.841 0 0 0 22.918 103.131 4.5 10.75 2012
13 14.363 10.298 0 0 0 24.661 128.237 5.2 11.25 2012
14 7.909 16.599 0 0 0 24.508 149.499 6.1 11.75 2012
15 6.977 28.824 0.16 0 0 35.961 251.727 7 12.25 2012
16 1.283 24.929 0.755 0 0 26.967 210.343 7.8 12.75 2012
17 0.303 24.508 3.017 0 0 27.828 244.886 8.8 13.25 2012
18 0.042 17.968 4.423 0 0 22.433 228.817 10.2 13.75 2012
19 0.071 10.954 6.78 0 0 17.805 204.758 11.5 14.25 2012
20 0.079 6.359 9.968 0 0 16.406 221.481 13.5 14.75 2012
21 0.075 3.457 10.149 0.011 0 13.692 212.226 15.5 15.25 2012
22 0.012 2.474 12.695 0.396 0 15.577 277.271 17.8 15.75 2012
23 0.002 2.208 13.234 0.224 0 15.668 310.226 19.8 16.25 2012
24 0 0.979 10.101 0.086 0 11.166 255.701 22.9 16.75 2012
25 0 0.759 7.44 0.742 0 8.941 224.419 25.1 17.25 2012
26 0 0.099 4.968 0.458 0 5.525 156.91 28.4 17.75 2012
27 0 0 3.11 0.119 0 3.229 102.036 31.6 18.25 2012
28 0 0 0.707 0.234 0 0.941 31.053 33 18.75 2012
29 0 0 0.051 0 0 0.051 1.811 35.5 19.25 2012
30 0 0 0 0 0 0 0 31.8 19.75 2012
31 0 0 0.013 0 0 0.013 0.533 41 20.25 2012
32 0 0 0 0 0 0 0 0 0 2012
1 0 0 0 0 0 0 0 0 5.25 2013
2 0 0 0 0 0 0 0 0 5.75 2013
3 1.024 0 0 0 0 1.024 0.922 0.9 6.25 2013
4 1.73 0 0 0 0 1.73 1.903 1.1 6.75 2013
5 4.344 0 0 0 0 4.344 4.778 1.1 7.25 2013
6 12.645 0 0 0 0 12.645 22.761 1.8 7.75 2013
7 30.055 0 0 0 0 30.055 60.11 2 8.25 2013
8 61.374 0.39 0 0 0 61.764 142.057 2.3 8.75 2013
9 79.927 2.37 0 0 0 82.297 238.661 2.9 9.25 2013
10 42.733 4.087 0 0 0 46.82 149.824 3.2 9.75 2013
11 40.521 10.544 0 0 0 51.065 199.154 3.9 10.25 2013
12 22.475 15.13 0 0 0 37.605 169.223 4.5 10.75 2013
13 12.32 27.673 0.019 0 0 40.012 212.064 5.3 11.25 2013
14 7.06 28.854 2.166 0 0 38.08 239.904 6.3 11.75 2013
15 4.119 31.049 0.634 0.119 0 35.921 258.631 7.2 12.25 2013
16 2.897 26.21 3.056 0 0 32.163 270.169 8.4 12.75 2013
17 0.783 23.589 3.975 0 0 28.347 280.635 9.9 13.25 2013
18 0.215 13.341 6.62 0.333 0 20.509 233.803 11.4 13.75 2013
19 0.236 11.342 7.285 0.425 0 19.288 244.958 12.7 14.25 2013
20 0 8.042 9.034 0.349 0 17.425 257.89 14.8 14.75 2013
21 0 6.022 6.625 0.637 0 13.284 224.5 16.9 15.25 2013
22 0 4.24 7.013 0.413 0 11.666 221.654 19 15.75 2013
23 0 2.114 5.324 0.831 0 8.269 181.091 21.9 16.25 2013
24 0 0.541 3.562 1.157 0 5.26 128.87 24.5 16.75 2013
25 0 0.61 2.609 0.87 0 4.089 113.265 27.7 17.25 2013
26 0 0.034 1.083 1.241 0 2.358 68.146 28.9 17.75 2013
27 0 0.007 0.19 0.395 0 0.592 19.832 33.5 18.25 2013
28 0 0 0.003 0.255 0 0.258 8.617 33.4 18.75 2013
29 0 0 0 0.051 0 0.051 1.989 39 19.25 2013
30 0 0 0 0.006 0.004 0 0 29.1 19.75 2013
31 0 0 0 0 0 0 0 0 20.25 2013
32 0 0 0 0 0 0 0 0 0 2013
1 0 0 0 0 0 0 0 0 5.25 2014
2 0 0 0 0 0 0 0 0 5.75 2014
3 0 0 0 0 0 0 0 0 6.25 2014
4 0.486 0 0 0 0 0.486 0.34 0.7 6.75 2014
5 4.655 0 0 0 0 4.655 4.655 1 7.25 2014
6 9.225 0 0 0 0 9.225 10.148 1.1 7.75 2014
7 7.575 0.503 0 0 0 8.078 11.309 1.4 8.25 2014
8 9.533 0 0 0 0 9.533 19.066 2 8.75 2014
9 11.729 0 0 0 0 11.729 28.15 2.4 9.25 2014
10 15.154 0.448 0 0 0 15.602 45.246 2.9 9.75 2014
11 15.827 0.668 0 0 0 16.495 56.083 3.4 10.25 2014
12 16.242 1.533 0 0 0 17.775 71.1 4 10.75 2014
13 8.49 4.832 0 0 0 13.322 62.613 4.7 11.25 2014
14 2.951 10.349 0.165 0 0 13.465 75.404 5.6 11.75 2014
15 1.883 13.922 0.098 0 0 15.903 101.779 6.4 12.25 2014
16 0.572 16.284 0.369 0 0 17.225 127.465 7.4 12.75 2014
17 0.4 16.437 1.366 0 0 18.203 154.726 8.5 13.25 2014
18 0.258 15.073 1.82 0 0 17.151 166.365 9.7 13.75 2014
19 0.087 9.215 3.455 0 0 12.757 141.603 11.1 14.25 2014
20 0 6.906 3.974 0.157 0 11.037 137.963 12.5 14.75 2014
21 0 4.872 6.848 0.092 0 11.812 171.274 14.5 15.25 2014
22 0.084 1.898 5.135 0.316 0 7.433 119.671 16.1 15.75 2014
23 0 1.765 7.294 0.264 0 9.323 170.611 18.3 16.25 2014
24 0 0.97 3.521 0.501 0 4.992 102.835 20.6 16.75 2014
25 0 0.224 3.056 0.3 0 3.58 83.772 23.4 17.25 2014
26 0 0.446 1.366 0.143 0 1.955 51.612 26.4 17.75 2014
27 0 0.204 0.712 0.117 0 1.033 29.131 28.2 18.25 2014
28 0 0.039 0.095 0.067 0 0.201 6.01 29.9 18.75 2014
29 0 0.001 0.008 0.002 0 0.011 0.336 30.5 19.25 2014
30 0 0 0.004 0 0 0.004 0.146 36.5 19.75 2014
31 0 0 0 0 0 0 0 0 20.25 2014
32 0 0 0 0 0 0 0 0 0 2014
1 0 0 0 0 0 0 0 0 5.25 2015
2 0 0 0 0 0 0 0 0 5.75 2015
3 0 0 0 0 0 0 0 0 6.25 2015
4 1.01 0 0 0 0 1.01 1.01 1 6.75 2015
5 1.17 0 0 0 0 1.17 1.17 1 7.25 2015
6 1.28 0 0 0 0 1.28 2.44 1.9 7.75 2015
7 1.39 0 0 0 0 1.39 2.77 2 8.25 2015
8 1.68 0 0 0 0 1.68 4.21 2.5 8.75 2015
9 2.58 0 0 0 0 2.58 7.23 2.8 9.25 2015
10 4.15 0 0 0 0 4.15 14.12 3.4 9.75 2015
11 6.89 0.2 0 0 0 7.09 28.35 4 10.25 2015
12 8.48 0.22 0 0 0 8.7 40.01 4.6 10.75 2015
13 5.45 1.44 0 0 0 6.88 36.48 5.3 11.25 2015
14 1.6 2.7 0.02 0 0 4.32 26.76 6.2 11.75 2015
15 0.34 4.52 0.31 0 0 5.18 37.78 7.3 12.25 2015
16 0.2 4.98 0.02 0 0 5.2 44.22 8.5 12.75 2015
17 0.12 6.27 0.62 0 0 7.02 68.79 9.8 13.25 2015
18 0.01 6.32 1.01 0 0 7.33 81.39 11.1 13.75 2015
19 0 5.38 1.97 0.17 0 7.52 95.53 12.7 14.25 2015
20 0 2.94 2.12 0.44 0 5.5 81.41 14.8 14.75 2015
21 0 1.63 2.36 1.03 0 5.02 82.81 16.5 15.25 2015
22 0 1.14 2.01 0.86 0 4 75.66 18.9 15.75 2015
23 0 0.44 1.2 0.78 0.01 2.43 55.25 22.7 16.25 2015
24 0 0.05 0.66 0.58 0.02 1.29 32.84 25.4 16.75 2015
25 0 0 0.17 0.38 0.05 0.61 17.23 28.2 17.25 2015
26 0 0 0.03 0.11 0 0.14 4.31 31 17.75 2015
27 0 0 0 0.01 0.01 0.02 0.63 35 18.25 2015
28 0 0 0 0 0 0 0.03 34 18.75 2015
29 0 0 0 0 0 0 0 0 19.25 2015
30 0 0 0 0 0 0 0 0 19.75 2015
31 0 0 0 0 0 0 0 0 20.25 2015
32 0 0 0 0 0 0 0 0 0 2015
1 0 0 0 0 0 0 0 0 5.25 2016
2 0 0 0 0 0 0 0 0 5.75 2016
3 0 0 0 0 0 0 0 0 6.25 2016
4 0 0 0 0 0 0 0 0 6.75 2016
5 0 0 0 0 0 0 0 0 7.25 2016
6 2.753 0 0 0 0 2.753 4.405 1.6 7.75 2016
7 2.247 0 0 0 0 2.247 3.82 1.7 8.25 2016
8 3.005 0 0 0 0 3.005 6.01 2 8.75 2016
9 3.501 0 0 0 0 3.501 9.103 2.6 9.25 2016
10 5.956 0 0 0 0 5.956 17.868 3 9.75 2016
11 3.129 0 0 0 0 3.129 11.264 3.6 10.25 2016
12 1.915 0 0 0 0 1.915 8.235 4.3 10.75 2016
13 1.968 0 0 0 0 1.968 10.234 5.2 11.25 2016
14 1.978 0.076 0 0 0 2.054 12.735 6.2 11.75 2016
15 3.032 0.218 0 0 0 3.25 23.725 7.3 12.25 2016
16 1.191 0.272 0 0 0 1.463 12.143 8.3 12.75 2016
17 0.682 0.773 0 0 0 1.455 13.968 9.6 13.25 2016
18 0.248 0.975 0.011 0 0 1.234 13.451 10.9 13.75 2016
